Departments,departmentScore,student_GPAX,Science,Mathematics,Biology,Chemistry,Physics,Computer,English
Computer Science,3.481,3.59,3.47,3.28,3.44,3.72,3.25,3.47,3.81
Computer Science,3.547,3.51,3.5,2.9,3,3.16,3.43,3.85,3.76
Computer Science,2.887,3.01,2.82,2.95,2.08,2.58,3,2.82,2.96
Computer Science,3.434,3.45,3.53,3.61,3.41,3.66,3.5,3.25,3.63
Computer Science,3.68,3.72,3.96,3.5,0,0,0,3.96,3.25
Computer Science,3.735,3.76,3.59,3.8,2.54,3.12,2.8,3.59,4
Computer Science,3.886,3.9,3.91,3.83,0,0,0,3.91,3.91
Computer Science,3.457,3.42,3.44,2.61,3.67,3.23,3.5,4,3.37
Food Science and Technology,0.484,2.72,2.42,2.58,0,0,0,3,2.13
Food Science and Technology,0.8,3.43,4,2,0,0,0,4,3
Applied Statistics,3.198,3.55,3.7,2.5,0,0,0,4,3.95
Applied Statistics,3.7,3.57,3.46,3.51,3.45,3.5,3.58,3.87,3.64
Applied Statistics,2.305,3.5,3,3.5,3,3,3.5,4,2.5
Applied Statistics,1.58,3.16,3.5,2,3,3,3,3.5,2
Applied Statistics,3.485,2.26,2,2.5,1.5,2,2,3.5,2
Applied Statistics,3.23,3.76,3.79,3.58,4,4,4,3.88,3.83
Applied Statistics,2.047,3.33,3.5,3.66,3.5,2,3.5,3.5,2.47
Applied Statistics,3.88,2,2,2.5,2,2,2,2,3
Applied Statistics,2.38,3.48,3.17,3.6,2,3.5,3.5,3.2,3.05
Applied Statistics,2.4223,2.37,2.23,2.01,2.01,2.01,2.26,2.45,2.32
Applied Statistics,2.7494,2.7,3,3,3,3,3,2,2
Applied Statistics,3.665,2.98,2.65,3.17,2.5,2.1,2.1,3.4,2.66
Applied Statistics,3.0085,2.85,2.5,2,0,0,0,3,4
Applied Statistics,1.6557,2.04,2.01,1.05,1.05,1.05,1,2.05,1.05
Applied Statistics,2.4064,3.1,2,2,2,2,2,3,2.5
Applied Statistics,1.5532,2.9,2.5,3,0,0,0,3.5,3
Applied Statistics,1.6122,3.17,2.69,2.85,0,0,0,3.57,3.16
Applied Statistics,2.2995,3.5,3,3,0,0,0,4,3.5
Applied Statistics,3.9379,3.46,3.18,3.5,3.5,3,3,3,3.56
Applied Statistics,3.6208,3.33,3.52,2.38,0,0,0,3.52,3.79
Applied Statistics,3.2763,3.14,3,3.5,4,3,2,4,1
Applied Statistics,1.7673,2.6,2.5,2.4,2.8,2.5,3,3.5,2.3
Applied Statistics,2.9513,2.89,2.7,2.55,3,2,2.38,3.66,2.95
Applied Statistics,3.3062,3.23,3.5,4,3,3,3,4,2.5
Applied Statistics,3.5367,3.54,3.26,3.43,3.33,2.83,2.74,4,3.88
Applied Statistics,3.7971,3.28,2.92,3.5,3.08,2.33,2.08,3.12,3.23
Applied Statistics,3.7711,3.34,3.24,3.48,3.08,3.11,3.05,3.24,2.8
Applied Statistics,3.2047,3,3,3,0,0,0,2.5,3
Applied Statistics,3.3597,3.17,3.09,3.06,3,2.76,2.81,3.04,2.27
Applied Statistics,1.8177,3.25,3,2.5,0,0,0,3,3
Applied Statistics,2.4537,2.89,2,2.9,3.1,2.8,2.57,3.5,2.89
Applied Statistics,3.5161,3.1,3.05,2.86,3,2.76,2.82,3.52,2.45
Applied Statistics,2.3796,3.1,3,2.89,2.8,2.85,2.76,3.4,3.1
Applied Statistics,2.726,3.17,2.5,2,3,3,3,3,3.5
Applied Statistics,3.523,2.72,2.75,2.5,2.5,2.5,2,3.75,3.5
Applied Statistics,3.1447,2.65,3.08,2.22,2.33,1.83,1.58,3.6,2.25
Applied Statistics,3.7866,2.51,2.5,2.33,0,0,0,0,2.5
Applied Statistics,3.2825,3.67,3.7,3.92,3.21,3.5,3.89,4,4
Applied Statistics,3.2926,3.78,3.65,3.92,3.66,3.45,3.67,4,3.68
