Department,GPAX_threshold,Science_GPAX_threshold,Math_GPAX_threshold,Biology_GPAX_threshold,Chemistry_GPAX_threshold,Physics_GPAX_threshold,Computer_GPAX_threshold,English_GPAX_threshold
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.34,3.01,3.46,2.8,3.25,2.1,4,3.58
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.88,3.75,3.83,0,0,0,4,3.9
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.87,4,3.76,4,3.75,3.67,4,4
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.59,3.33,3.78,3.5,3.52,3.2,3.33,3.8
สาขาเทคโนโลยีสารสนเทศและการสื่อสารดิจิทัล,3.67,2.5,3,0,0,0,4,2.5
สาขาฟิสิกส์ประยุกต์,3.21,3.56,2.83,0,0,0,0,2.87
สาขาวิทยาการคอมพิวเตอร์,3.59,3.52,3.24,0,0,0,0,3.8
สาขาวิทยาการคอมพิวเตอร์,3.3,3.32,2.5,0,0,0,3.32,3.45
สาขาวิทยาการคอมพิวเตอร์,3.66,3.75,3.47,3.58,3.91,3.63,0,3.16
สาขาวิทยาการคอมพิวเตอร์,3,2.85,3.16,0,0,0,0,3.01
สาขาวิทยาการคอมพิวเตอร์,3.68,3.85,3.33,3.5,4,4,4,3.3
สาขาวิทยาการคอมพิวเตอร์,3.23,3.12,2.52,4,1.5,2.5,4,3.45
สาขาวิทยาการคอมพิวเตอร์,3.45,3.45,3.25,0,0,0,0,3.36
สาขาวิทยาการคอมพิวเตอร์,3.71,2.5,2.5,2.5,2.5,2.5,3,3
สาขาวิทยาการคอมพิวเตอร์,3.9,3.91,3.87,0,0,0,0,0
สาขาวิทยาการคอมพิวเตอร์,3.59,3.62,3.3,3.66,3.75,3.58,3.62,3.38
สาขาวิทยาการคอมพิวเตอร์,3.53,3.58,3.25,3.37,3.12,3.64,3.91,3.4
สาขาวิทยาการคอมพิวเตอร์,2.9,2.64,3.5,2.5,3,2,3.5,3
สาขาวิทยาการคอมพิวเตอร์,2.98,2.77,3.16,2.58,2.5,2.51,3.16,2.47
สาขาวิทยาการคอมพิวเตอร์,3.39,3.1,2.5,2.4,2.3,2.2,2.5,1.5
สาขาวิทยาการคอมพิวเตอร์,3.27,3.6,2.76,3.6,3.6,3.6,4,2.83
สาขาวิทยาการคอมพิวเตอร์,3.93,3.92,4,3.66,4,4,4,3.83
สาขาคณิตศาสตร์ประยุกต์,3.53,3.31,3.64,3.25,3,3.4,0,3.3
สาขาวิทยาการคอมพิวเตอร์,3.25,2.99,3.52,2.81,3.5,2.75,3,3.37
สาขาวิทยาการคอมพิวเตอร์,3.69,3.6,3.69,3.46,3.27,3.17,3.6,3.73
สาขาวิทยาการคอมพิวเตอร์,3.78,3.65,3.86,4,3.92,2.92,3.92,3.69
สาขาวิทยาการคอมพิวเตอร์,3.46,3.13,3.21,3.66,2.75,2.08,4,3.95
สาขาวิทยาการคอมพิวเตอร์,2.95,2.39,2.88,2.39,2.39,2.39,3.91,3.45
สาขาวิทยาการคอมพิวเตอร์,2.95,2.39,2.88,2.41,1.92,1.97,4,3.45
สาขาวิทยาการคอมพิวเตอร์,3.9,3.91,3.87,3.83,4,3.91,4,4
สาขาวิทยาการคอมพิวเตอร์,3.59,3.47,3.28,3.44,3.72,3.25,3.47,3.81
สาขาวิทยาการคอมพิวเตอร์,3.51,3.5,2.9,3,3.16,3.43,3.85,3.76
สาขาวิทยาการคอมพิวเตอร์,3.01,2.82,2.95,2.08,2.58,3,2.82,2.96
สาขาวิทยาการคอมพิวเตอร์,3.45,3.53,3.61,3.41,3.66,3.5,3.25,3.63
สาขาการวิเคราะห์และจัดการข้อมูลขนาดใหญ่,3.3,3.02,2.33,0,0,0,0,3.31
